"batch","gbifID","genus","specificEpithet","decimalLatitude","decimalLongitude","eventDate","stateProvince","creator","license"
1,4039267161,"Penstemon","davidsonii",49.385989,-122.940817,"2015-02-16T13:01","British Columbia","Steve Ansell","CC_BY_NC_4_0"
1,5167746069,"Penstemon","newberryi",39.33023,-120.628558,"2025-05-22T14:11:58","California","rockorplantoranimal","CC_BY_NC_4_0"
1,3859243402,"Penstemon","davidsonii",48.727525,-121.038657,"2022-06-11T13:21:05","Washington","valsa","CC_BY_NC_4_0"
1,3858222587,"Penstemon","davidsonii",48.697747,-121.105442,"2016-05-20T13:23","Washington","T. Abe Lloyd","CC_BY_NC_4_0"
1,5176385393,"Penstemon","newberryi",37.712982,-119.605499,"2024-06-05T17:20:17","California","Kristen Alonzi","CC_BY_NC_4_0"
1,4891629052,"Penstemon","newberryi",36.546871,-118.765593,"2016-04-24T15:14","California","Jacob A. Gorneau","CC_BY_4_0"
1,3902263748,"Penstemon","newberryi",38.623702,-120.195925,"2022-07-04T17:02","California","Chia⚡aka Cory Chiappone","CC_BY_NC_4_0"
1,4171181021,"Penstemon","newberryi",38.316547,-119.733429,"2023-06-26T14:15:34","California","Devin Floyd","CC_BY_NC_4_0"
1,2283203157,"Penstemon","newberryi",37.429078,-118.751672,"2019-07-06T11:42:16","California","Corey Lange","CC_BY_NC_4_0"
1,3018001606,"Penstemon","davidsonii",47.488363,-123.7463,"2020-07-05T15:32:38","Washington","Gabriel Silva Collins","CC_BY_NC_4_0"
1,2851136653,"Penstemon","davidsonii",37.917964,-119.230767,"2020-07-26T14:10:25","California","Peggy Moore","CC_BY_NC_4_0"
1,4500762419,"Penstemon","davidsonii",37.752283,-119.26642,"2023-08-25T23:42","California","mitchm44","CC_BY_NC_4_0"
1,5938709505,"Penstemon","davidsonii",47.433,-121.602,"2025-06-08T12:24","Washington","Carmel Cameron","CC_BY_NC_4_0"
1,5293189619,"Penstemon","newberryi",39.620303,-120.658028,"2025-06-24T15:24:39","California","Vicki Pelton","CC_BY_NC_4_0"
1,2826314514,"Penstemon","davidsonii",49.053,-121.625,"2020-07-27T06:42","British Columbia","Scott Wilson","CC_BY_NC_4_0"
1,3859066671,"Penstemon","davidsonii",48.709845,-121.094357,"2021-06-03T15:32:54","Washington","T. Abe Lloyd","CC_BY_NC_4_0"
1,4153915474,"Penstemon","davidsonii",48.674591,-121.14611,"2023-07-09T13:22:06","Washington","Jon Eilers","CC0_1_0"
1,6479734388,"Penstemon","davidsonii",37.967593,-119.274159,"2026-07-25T08:59:05","California","Leor Golder","CC_BY_NC_4_0"
1,2350399914,"Penstemon","newberryi",40.456865,-121.48326,"2019-08-12T08:37:43","California","Debara","CC_BY_NC_4_0"
1,6422800346,"Penstemon","davidsonii",49.121965,-120.863559,"2026-06-28T10:53:05","British Columbia","s_egolf","CC_BY_NC_4_0"
1,4171562984,"Penstemon","davidsonii",45.357737,-121.72348,"2023-07-26T16:33","Oregon","Adam Schneider","CC_BY_4_0"
1,3415876020,"Penstemon","davidsonii",38.857531,-119.902769,"2004-08-07T13:28","California","Steve Matson","CC_BY_4_0"
1,4138423960,"Penstemon","davidsonii",50.162678,-122.815575,"2023-06-24T17:06:18","British Columbia","sophiayury","CC_BY_NC_4_0"
1,4909255087,"Penstemon","davidsonii",40.481174,-121.504291,"2023-07-21T09:08:21","California","beekebirder23","CC_BY_NC_4_0"
1,6470164864,"Penstemon","newberryi",38.505047,-119.803681,"2026-07-01T15:00","California","Kurt Rademacher","CC_BY_4_0"
1,4055017454,"Penstemon","davidsonii",49.298405,-121.26162,"2022-06-18T14:41:10","British Columbia","hjbird","CC_BY_NC_4_0"
1,6441061790,"Penstemon","davidsonii",46.925831,-121.698831,"2026-07-07T11:21:56","Washington","John Brew","CC_BY_4_0"
1,5231801274,"Penstemon","davidsonii",45.337546,-121.709757,"2025-07-20T13:40:53","Oregon","chad1997","CC_BY_NC_4_0"
1,5237801658,"Penstemon","davidsonii",40.484253,-121.506447,"2025-07-26T10:45:08","California","beccamcknight","CC_BY_NC_4_0"
1,5215812495,"Penstemon","newberryi",36.810325,-118.548526,"2025-05-17T15:17","California","liz_mcd","CC_BY_NC_4_0"
1,6470181956,"Penstemon","davidsonii",49.689321,-125.374434,"2026-07-22T10:31","British Columbia","brantastic","CC_BY_NC_4_0"
1,3307377786,"Penstemon","newberryi",37.721961,-119.536317,"2021-06-12T19:19:30","California","velodrome","CC_BY_NC_4_0"
1,6195927302,"Penstemon","newberryi",37.726708,-119.557269,"2026-04-06T09:06:56","California","Hannah Stitt","CC_BY_4_0"
1,3872931744,"Penstemon","newberryi",38.934772,-120.102067,"2022-06-16T13:03:12","California","Rachel Stringham","CC_BY_4_0"
1,3314474133,"Penstemon","newberryi",38.978437,-120.102989,"2021-06-17T09:11:28","California","Terry","CC_BY_NC_4_0"
1,4919744837,"Penstemon","davidsonii",48.862739,-121.424578,"2024-07-21T09:29","Washington","julegust","CC_BY_NC_4_0"
1,4516710631,"Penstemon","davidsonii",49.382226,-123.234634,"2015-06-13T07:17","British Columbia","Steve Ansell","CC_BY_NC_4_0"
1,2826191696,"Penstemon","davidsonii",47.933146,-123.409627,"2020-07-20T18:30:49","Washington","Mike Auger","CC_BY_NC_4_0"
1,1945477190,"Penstemon","newberryi",38.646707,-122.579924,"2010-05-29","California","mhays","CC_BY_NC_4_0"
1,4458337477,"Penstemon","davidsonii",50.062678,-123.035748,"2021-06-13T19:03:45Z","British Columbia","Roanan DeMeyer","CC_BY_NC_4_0"
1,3005107466,"Penstemon","newberryi",40.45518,-121.501252,"2020-08-02T15:17","California","Isaac Lord","CC_BY_NC_4_0"
1,5840444491,"Penstemon","davidsonii",49.184873,-121.68312,"2025-10-04T14:31:42","British Columbia","Bentley Colwill","CC_BY_NC_4_0"
1,891158375,"Penstemon","newberryi",38.802333,-120.137667,"2013-05-05T12:23","California","101595408250610106310","CC_BY_4_0"
1,4994383661,"Penstemon","newberryi",37.921612,-119.444382,"2020-07-28T09:34:22","California","Thea Chesney","CC_BY_4_0"
1,6413346510,"Penstemon","newberryi",38.784586,-120.016625,"2026-06-06T14:12:12","California","petergleick","CC_BY_NC_4_0"
1,3873259239,"Penstemon","newberryi",37.912299,-119.322114,"2003-08-02","California","Cindy Bell","CC_BY_4_0"
1,3307176601,"Penstemon","newberryi",38.341145,-119.924987,"2021-06-01T16:39","California","Paul Donahue","CC_BY_NC_4_0"
1,5281988406,"Penstemon","davidsonii",49.753261,-125.29628,"2025-08-04T15:50:12","British Columbia","Andrew Dagley","CC_BY_NC_4_0"
1,3327765288,"Penstemon","davidsonii",50.343772,-122.47715,"2021-07-11T19:25:48","British Columbia","kristinop","CC_BY_NC_4_0"
1,5177352157,"Penstemon","newberryi",39.659245,-120.654687,"2025-06-01T11:01:05","California","quirkycorvid","CC_BY_NC_4_0"
1,5759889024,"Penstemon","davidsonii",50.115936,-124.154389,"2025-08-31T11:47:11","British Columbia","savitao","CC0_1_0"
1,4901699829,"Penstemon","newberryi",38.94642,-119.931083,"2024-06-16T16:45:41","California","kathydonovan","CC_BY_NC_4_0"
1,1453483135,"Penstemon","newberryi",39.228962,-119.861824,"2010-06-26T13:24","Nevada","Janel Johnson","CC_BY_4_0"
1,5007182720,"Penstemon","davidsonii",46.919232,-121.655941,"2016-08-06T11:28","Washington","Steve Ansell","CC_BY_NC_4_0"
1,4909093817,"Penstemon","davidsonii",50.342765,-122.474541,"2024-07-11T09:24:04","British Columbia","Rachel Buxton","CC_BY_NC_4_0"
1,3858225504,"Penstemon","newberryi",37.086389,-119.296094,"2020-06-05T10:46:34","California","bambora","CC_BY_NC_4_0"
1,4923679471,"Penstemon","davidsonii",46.796211,-121.732331,"2024-07-19T08:06","Washington","paintedbunting123","CC_BY_NC_4_0"
1,5830954407,"Penstemon","davidsonii",49.23444,-124.60867,"2025-09-21T12:45:18","British Columbia","meganfrancisco","CC_BY_NC_4_0"
1,6353333391,"Penstemon","newberryi",37.575281,-119.083843,"2026-05-24T11:07:31","California","lucaswoj","CC_BY_4_0"
1,4127286868,"Penstemon","newberryi",38.622408,-120.412322,"2023-05-24T11:58","California","subhashc","CC_BY_NC_4_0"
1,4162505375,"Penstemon","newberryi",38.696133,-119.859445,"2023-07-15T10:31:36","California","chris4x","CC_BY_NC_4_0"
1,1291059396,"Penstemon","davidsonii",46.90408,-121.706671,"2003-08-03T09:30","Washington","J Brew","CC_BY_4_0"
1,6130008540,"Penstemon","davidsonii",42.944595,-122.171622,"2025-08-22T14:11:01","Oregon","Parker James Lloyd","CC_BY_4_0"
1,3859359497,"Penstemon","davidsonii",49.56953,-121.135033,"2020-07-10T14:29:26","British Columbia","Maddie Edmonds","CC_BY_4_0"
1,3337919136,"Penstemon","davidsonii",40.6894,-121.619072,"2021-06-16T17:23:56","California","jrmorris","CC_BY_NC_4_0"
1,2397451918,"Penstemon","newberryi",40.488076,-121.50493,"2018-07-23T19:05","California","Micah Freedman","CC_BY_NC_4_0"
1,3902156343,"Penstemon","davidsonii",46.249535,-122.136908,"2019-07-05T11:58:25","Washington","Jennifer L","CC_BY_NC_4_0"
1,4014838278,"Penstemon","davidsonii",42.673706,-118.695786,"2021-06-21T12:27","Oregon","Pete Zani (born @ 325 ppm)","CC_BY_NC_4_0"
1,6470367116,"Penstemon","newberryi",40.464511,-121.510046,"2026-07-18T13:54:02","California","Josh Davidson","CC_BY_NC_4_0"
1,1880602304,"Penstemon","newberryi",37.812345,-119.49028,"2018-06-29T18:08:35","California","erikaashley11","CC_BY_NC_4_0"
1,4138612150,"Penstemon","newberryi",37.723512,-119.547067,"2023-06-17T12:34:02","California","blockpack","CC_BY_NC_4_0"
1,2814376325,"Penstemon","newberryi",38.934005,-120.114036,"2020-07-03T08:54:29","California","neaturejuegirl","CC_BY_NC_4_0"
1,3859848239,"Penstemon","davidsonii",43.909721,-121.356515,"2022-06-10T17:28:43","Oregon","bitterroot22","CC_BY_NC_4_0"
1,2802902591,"Penstemon","newberryi",38.652622,-122.604667,"2020-05-01T10:56:11","California","Bill Miller","CC_BY_NC_4_0"
1,5760136575,"Penstemon","davidsonii",41.359127,-122.199476,"2025-08-27T09:30:34","California","Laura Bradley","CC_BY_NC_4_0"
1,4892235590,"Penstemon","newberryi",39.752113,-120.7174,"2024-06-09T12:13:20","California","Cosmo","CC_BY_NC_4_0"
1,2283140682,"Penstemon","davidsonii",49.695737,-125.362617,"2019-07-02T11:08:51","British Columbia","Adam Huggins","CC_BY_NC_4_0"
1,5292691646,"Penstemon","newberryi",39.321748,-120.319296,"2025-08-16T10:41:26","California","Kat Haas","CC_BY_NC_4_0"
1,4171322436,"Penstemon","newberryi",38.099814,-119.289497,"2022-06-10T17:01:21","California","jennaleigh7","CC_BY_NC_4_0"
1,2823077675,"Penstemon","newberryi",38.687591,-120.011308,"2020-07-16T17:37:26","California","chriselly","CC_BY_NC_4_0"
1,3859612821,"Penstemon","davidsonii",49.214081,-121.080362,"2022-05-21T11:39","British Columbia","Finn McGhee","CC0_1_0"
1,4909013675,"Penstemon","davidsonii",49.701978,-125.320587,"2024-07-14T10:55:57","British Columbia","klbarry","CC_BY_NC_4_0"
1,5133634552,"Penstemon","newberryi",36.545664,-118.765397,"2025-04-13T11:28","California","Rajan Rao","CC_BY_4_0"
1,3112929919,"Penstemon","newberryi",36.815232,-118.554205,"2021-05-04T16:09:07","California","BW","CC_BY_NC_4_0"
1,5238420630,"Penstemon","davidsonii",49.629876,-125.715097,"2025-07-21T19:10","British Columbia","beamowat","CC_BY_NC_4_0"
1,5088067620,"Penstemon","davidsonii",44.095121,-121.708442,"2014-08-23T12:27","Oregon","Bruce Newhouse","CC_BY_NC_4_0"
1,6399579324,"Penstemon","davidsonii",38.056908,-119.253753,"2026-06-13T18:59:45","California","Leah Gardner","CC0_1_0"
1,3923499891,"Penstemon","davidsonii",49.158765,-120.774802,"2022-07-25T06:04","British Columbia","Chris Close","CC_BY_NC_4_0"
1,5176636577,"Penstemon","newberryi",39.163008,-119.932572,"2025-05-27T13:39:58","Nevada","Lowens311","CC_BY_NC_4_0"
1,5890187000,"Penstemon","davidsonii",46.919289,-121.659012,"2020-07-30T15:25:12","Washington","Mike","CC_BY_NC_4_0"
1,5760700808,"Penstemon","davidsonii",49.361995,-122.501253,"2025-08-23T17:54:59","British Columbia","Chris Fluit","CC_BY_4_0"
1,5827498333,"Penstemon","davidsonii",48.859242,-121.709717,"2025-08-03T14:53:23","Washington","Emily Frank","CC_BY_NC_4_0"
1,2802912881,"Penstemon","newberryi",39.150508,-120.430412,"2020-06-10T11:15:26","California","cskuennen","CC_BY_NC_4_0"
1,4421232171,"Penstemon","davidsonii",49.576092,-121.136875,"2023-09-30T10:52:14","British Columbia","Ben Keen","CC0_1_0"
1,1269569362,"Penstemon","newberryi",39.308492,-120.646453,"2016-05-19T18:47:13","California","Gary Griffith","CC_BY_4_0"
1,4171600355,"Penstemon","newberryi",37.725713,-119.584305,"2023-07-29T16:45:53","California","Sarah Wang","CC_BY_NC_4_0"
1,3466232649,"Penstemon","davidsonii",48.791372,-121.868574,"2021-07-07T12:10:55","Washington","dstathis","CC_BY_NC_4_0"
1,4430627416,"Penstemon","newberryi",36.826439,-118.41803,"2023-10-09T09:56:19","California","Austin","CC_BY_NC_4_0"
1,6413629411,"Penstemon","newberryi",39.707005,-120.644242,"2026-06-21T11:56:39","California","U","CC_BY_NC_4_0"
1,3873065894,"Penstemon","davidsonii",49.043531,-120.157081,"2022-07-19T10:57","British Columbia","Adam Huggins","CC_BY_NC_4_0"
1,4910678432,"Penstemon","newberryi",37.399753,-118.811417,"2024-07-08T10:35:17","California","vanderplants","CC_BY_NC_4_0"
1,3314311861,"Penstemon","newberryi",38.971015,-120.09352,"2021-06-15T22:40:03","California","Ellen C Lovelidge","CC0_1_0"
1,4921998788,"Penstemon","davidsonii",48.964819,-121.989589,"2024-07-22T16:03","Washington","Ryan Sorrells","CC_BY_4_0"
1,6451874427,"Penstemon","davidsonii",40.480153,-121.503958,"2026-07-14T15:07:28","California","jrmorris","CC_BY_NC_4_0"
1,6452284715,"Penstemon","davidsonii",47.451288,-121.37857,"2026-07-12T13:15:09","Washington","etulloss","CC_BY_NC_4_0"
1,2294585122,"Penstemon","newberryi",38.415027,-120.110507,"2019-07-19T16:13:07","California","chubbs","CC_BY_NC_4_0"
1,5108498107,"Penstemon","newberryi",40.488781,-121.367093,"2020-08-18T20:35","California","Jack Wander","CC0_1_0"
1,4909205726,"Penstemon","davidsonii",48.46555,-123.673789,"2024-07-03T13:06","British Columbia","Mary Sanseverino","CC_BY_NC_4_0"
1,5840258545,"Penstemon","davidsonii",49.150733,-121.666228,"2025-08-05T14:36:58","British Columbia","jenwedel","CC_BY_NC_4_0"
1,6399632005,"Penstemon","newberryi",37.712538,-119.562447,"2026-05-23T12:14:39","California","Alessandra Del Negro Yabar","CC_BY_NC_4_0"
1,6469667722,"Penstemon","davidsonii",37.834525,-119.373038,"2026-07-02T15:01:39","California","drchelsea","CC_BY_NC_4_0"
1,1455592101,"Penstemon","davidsonii",39.31406,-119.886325,"2009-07-18T11:18","Nevada","Janel Johnson","CC_BY_4_0"
1,3902893051,"Penstemon","davidsonii",46.805752,-121.726937,"2022-08-09T10:12:47","Washington","Stefan","CC_BY_NC_4_0"
1,5844409035,"Penstemon","davidsonii",47.94845,-123.253888,"2024-07-01T11:47","Washington","Victor Burgett","CC_BY_NC_4_0"
1,5215828495,"Penstemon","newberryi",36.692692,-118.881217,"2025-06-18T09:21:57","California","rangergrant4","CC_BY_NC_4_0"
1,5216094944,"Penstemon","newberryi",39.314267,-120.314955,"2025-07-05T12:00:38","California","ned_horton","CC_BY_NC_4_0"
1,6321097471,"Penstemon","davidsonii",37.436117,-118.768681,"2022-08-02T09:48:31","California","James Fowler","CC_BY_4_0"
